id,title,company,location,category,url,source,job_type,priority,publication_date,salary,education,experience_level,is_mnc,placements,package
arbeitnow_senior-it-systemintegrator-no-code-low-code-zapier-makecom-n8n-airtable-etc-hamburg-42964,"Senior IT-Systemintegrator No-Code / Low-Code (m/w/d) – (Zapier, Make.com, n8n, AirTable etc.)",Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-it-systemintegrator-no-code-low-code-zapier-makecom-n8n-airtable-etc-hamburg-42964,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,41,3
arbeitnow_senior-it-projektleiter-hamburg-306020,Senior-IT-Projektleiter (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-it-projektleiter-hamburg-306020,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,36,6
arbeitnow_senior-recruiter-vollzeit-hamburg-399330,Senior Recruiter - Vollzeit (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-recruiter-vollzeit-hamburg-399330,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,46,4
arbeitnow_working-student-communications-social-media-marketing-berlin-495032,"Working Student – Communications, Social Media & Marketing (f/m/d)",TYTAN Technologies GmbH,"Berlin, Berlin, Germany",Technology,https://www.arbeitnow.com/jobs/companies/tytan-technologies-gmbh/working-student-communications-social-media-marketing-berlin-495032,Arbeitnow,On-site,,2026-05-08,Negotiable,NON-TECH,Experienced,False,8,5
arbeitnow_senior-site-reliability-engineer-berlin-333367,Senior Site Reliability Engineer,Cloudfactory,"Berlin, Germany",Technology,https://www.arbeitnow.com/jobs/companies/cloudfactory/senior-site-reliability-engineer-berlin-333367,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,30,4
arbeitnow_forward-deployed-engineer-berlin-99601,Forward Deployed Engineer,Cloudfactory,"Berlin, Germany",Technology,https://www.arbeitnow.com/jobs/companies/cloudfactory/forward-deployed-engineer-berlin-99601,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,9,5
arbeitnow_senior-strategist-data-ai-remote-us-uk-nigeria-ethiopia-india-or-rwanda-united-states-nigeria-ethiopia-india-or-rwanda-298614,"Senior Strategist, Data & AI (Remote - US, UK, Nigeria, Ethiopia, India or Rwanda)",Resolvetosavelives,"United States, Nigeria, Ethiopia, India or Rwanda",Technology,https://www.arbeitnow.co.uk/jobs/companies/resolvetosavelives/senior-strategist-data-ai-remote-us-uk-nigeria-ethiopia-india-or-rwanda-united-states-nigeria-ethiopia-india-or-rwanda-298614,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MSC, BSC",Experienced,False,42,7
arbeitnow_senior-data-engineer-london-374837,Senior Data Engineer,Zoominfo,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/zoominfo/senior-data-engineer-london-374837,Arbeitnow,On-site,,2026-05-08,Negotiable,"MCA, MSC, BSC, BTECH, BCA",Experienced,False,7,7
arbeitnow_senior-software-engineer-428386,Senior Software Engineer,Cloudbedsthirdpartyboard,,Technology,https://www.arbeitnow.co.uk/jobs/companies/cloudbedsthirdpartyboard/senior-software-engineer-428386,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,10,4
arbeitnow_product-management-director-soft-fm-estates-uk-186249,Product Management Director – Soft FM & Estates (UK),Singu,UK,Technology,https://www.arbeitnow.co.uk/jobs/companies/singu/product-management-director-soft-fm-estates-uk-186249,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,38,6
arbeitnow_senior-sales-manager-uk-london-305430,Senior Sales Manager UK,Adsquare,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/adsquare/senior-sales-manager-uk-london-305430,Arbeitnow,On-site,,2026-05-08,Negotiable,NON-TECH,Experienced,False,23,4
arbeitnow_aero-software-developer-bicester-united-kingdom-289895,Aero Software Developer,Audif1,Bicester United Kingdom,Technology,https://www.arbeitnow.co.uk/jobs/companies/audif1/aero-software-developer-bicester-united-kingdom-289895,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,25,6
arbeitnow_remote-senior-manager-clinical-operations-363761,"Senior Manager, Clinical Operations",Precisionmedicinegroup,Remote,Technology,https://www.arbeitnow.co.uk/jobs/companies/precisionmedicinegroup/remote-senior-manager-clinical-operations-363761,Arbeitnow,Remote,,2026-05-08,Negotiable,General,Experienced,False,22,7
arbeitnow_misuse-red-team-research-engineer-research-scientist-london-177850,Misuse Red Team - Research Engineer/Research Scientist,Aisi,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/aisi/misuse-red-team-research-engineer-research-scientist-london-177850,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,5,7
arbeitnow_control-red-team-research-engineer-research-scientist-london-374709,Control Red Team - Research Engineer/Research Scientist,Aisi,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/aisi/control-red-team-research-engineer-research-scientist-london-374709,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,26,3
arbeitnow_workday-integration-specialist-london-150952,Workday Integration Specialist,Neko Health,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/neko-health/workday-integration-specialist-london-150952,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,47,4
arbeitnow_campaigns-content-specialist-london-42945,Campaigns & Content Specialist,Multiverse,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/multiverse/campaigns-content-specialist-london-42945,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,41,4
arbeitnow_remote-senior-business-development-representative-bdr-emea-111324,Senior Business Development Representative (BDR) - EMEA,Rasa,Remote - United Kingdom,Technology,https://www.arbeitnow.co.uk/jobs/companies/rasa/remote-senior-business-development-representative-bdr-emea-111324,Arbeitnow,Remote,,2026-05-08,Negotiable,General,Experienced,False,44,7
arbeitnow_engineering-manager-london-409630,Engineering Manager,Relay,London - Hybrid,Technology,https://www.arbeitnow.co.uk/jobs/companies/relay/engineering-manager-london-409630,Arbeitnow,Hybrid,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,36,5
arbeitnow_graduate-software-engineer-london-465973,Graduate Software Engineer,Relay,London - Hybrid,Technology,https://www.arbeitnow.co.uk/jobs/companies/relay/graduate-software-engineer-london-465973,Arbeitnow,Hybrid,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Fresher,False,35,4
arbeitnow_legal-engineer-privacy-compliance-edinburgh-152899,Legal Engineer (Privacy & Compliance),Wordsmith,Edinburgh,Technology,https://www.arbeitnow.co.uk/jobs/companies/wordsmith/legal-engineer-privacy-compliance-edinburgh-152899,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,24,7
arbeitnow_vc-partnerships-business-development-manager-remote-london-185863,VC Partnerships & Business Development Manager (Remote),Pragmatike,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/pragmatike/vc-partnerships-business-development-manager-remote-london-185863,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,30,7
arbeitnow_senior-consultant-government-ai-london-59092,"Senior Consultant - Government, AI",Baringa,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/baringa/senior-consultant-government-ai-london-59092,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,46,3
arbeitnow_senior-ux-designer-star-trek-fleet-command-44617,Senior UX Designer - Star Trek Fleet Command,Scopely,,Technology,https://www.arbeitnow.co.uk/jobs/companies/scopely/senior-ux-designer-star-trek-fleet-command-44617,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,25,4
arbeitnow_associate-director-credit-london-63609,Associate Director - Credit,Triplepointllp,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/triplepointllp/associate-director-credit-london-63609,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,42,4
arbeitnow_senior-ecommerce-manager-commercial-trading-strategy-manchester-218211,Senior Ecommerce Manager – Commercial Trading & Strategy,Thgingenuity,Manchester,Technology,https://www.arbeitnow.co.uk/jobs/companies/thgingenuity/senior-ecommerce-manager-commercial-trading-strategy-manchester-218211,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,23,4
arbeitnow_senior-product-manager-giftcard-london-231979,Senior Product Manager (Giftcard),Atolls,"London, England, United Kingdom",Technology,https://www.arbeitnow.co.uk/jobs/companies/atolls/senior-product-manager-giftcard-london-231979,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,44,3
arbeitnow_sr-director-salesforce-alliance-pipeline-development-london-394393,"Sr. Director, Salesforce Alliance Pipeline & Development",Bandwidth,"London, England, United Kingdom",Technology,https://www.arbeitnow.co.uk/jobs/companies/bandwidth/sr-director-salesforce-alliance-pipeline-development-london-394393,Arbeitnow,On-site,,2026-05-08,Negotiable,NON-TECH,Experienced,False,40,4
arbeitnow_senior-product-designer-london-151911,Senior Product Designer,Deepl,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/deepl/senior-product-designer-london-151911,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,38,4
arbeitnow_senior-product-manager-london-195200,Senior Product Manager,Mubi,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/mubi/senior-product-manager-london-195200,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,18,5
arbeitnow_senior-manager-solution-engineering-emea-london-uk-378808,"Senior Manager, Solution Engineering EMEA",Sanity,"London, UK",Technology,https://www.arbeitnow.co.uk/jobs/companies/sanity/senior-manager-solution-engineering-emea-london-uk-378808,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,32,4
arbeitnow_talent-acquisition-maternity-cover-london-393578,Talent Acquisition- Maternity Cover,INDITEX,"LONDON, Greater London, United Kingdom",Technology,https://www.arbeitnow.co.uk/jobs/companies/inditex/talent-acquisition-maternity-cover-london-393578,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,37,5
arbeitnow_data-analyst-credit-london-gb-139731,Data Analyst (Credit),Octopus Energy Group,London (GB),Technology,https://www.arbeitnow.co.uk/jobs/companies/octopus-energy-group/data-analyst-credit-london-gb-139731,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MSC, BSC",Experienced,False,10,4
arbeitnow_lead-ui-designer-london-manchester-399147,Lead UI Designer,Vmlenterprisesolutions,London; Manchester,Technology,https://www.arbeitnow.co.uk/jobs/companies/vmlenterprisesolutions/lead-ui-designer-london-manchester-399147,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,12,6
arbeitnow_strategic-account-executive-211793,Strategic Account Executive,Twilio,,Technology,https://www.arbeitnow.co.uk/jobs/companies/twilio/strategic-account-executive-211793,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,49,3
arbeitnow_staff-principal-research-engineer-ai-safety-technical-mitigations-london-29039,"Staff / Principal Research Engineer, AI Safety, Technical Mitigations",Lilasciences,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/lilasciences/staff-principal-research-engineer-ai-safety-technical-mitigations-london-29039,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MCA, BCA",Experienced,False,16,4
arbeitnow_team-support-london-232724,Team Support,Supercell,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/supercell/team-support-london-232724,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,17,6
arbeitnow_senior-customer-success-manager-financial-services-london-258290,Senior Customer Success Manager - Financial Services,Trustly,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/trustly/senior-customer-success-manager-financial-services-london-258290,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,46,4
arbeitnow_assurance-manager-eu-uk-london-273454,Assurance Manager EU/UK,Trustly,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/trustly/assurance-manager-eu-uk-london-273454,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,47,6
arbeitnow_senior-analyst-mena-focus-london-337480,Senior Analyst - MENA focus,Extrac.ai,London,Technology,https://www.arbeitnow.co.uk/jobs/companies/extracai/senior-analyst-mena-focus-london-337480,Arbeitnow,On-site,,2026-05-08,Negotiable,"BTECH, MSC, BSC",Experienced,False,49,6
