id,title,company,location,category,job_type,publication_date,salary,url,source
arbeitnow_itsm-process-owner-manager-1422-wiesbaden-164830,ITSM Process Owner & Manager (m/w/d) - 1422,ITconfig/all GmbH,Wiesbaden,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/itconfigall-gmbh/itsm-process-owner-manager-1422-wiesbaden-164830,Arbeitnow
arbeitnow_senior-backend-engineer-ror-all-identities-berlin-7147,Senior Backend Engineer RoR (all identities),Caspar Health,Berlin,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/caspar-health/senior-backend-engineer-ror-all-identities-berlin-7147,Arbeitnow
arbeitnow_platform-data-engineer-full-time-100-remote-karlsruhe-472053,Platform & Data Engineer Full-time · 100% Remote,neoBIM GmbH,Karlsruhe,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/neobim-gmbh/platform-data-engineer-full-time-100-remote-karlsruhe-472053,Arbeitnow
arbeitnow_konstrukteur-fea-spezialist-ultraschall-recycling-penzberg-77893,Konstrukteur / FEA-Spezialist Ultraschall-Recycling (m/w/d),MESSTEC Power Converter GmbH,Penzberg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/messtec-power-converter-gmbh/konstrukteur-fea-spezialist-ultraschall-recycling-penzberg-77893,Arbeitnow
arbeitnow_senior-projektleiter-flottenmanagement-rollout-ottobrunn-71105,Senior Projektleiter Flottenmanagement-Rollout (m/w/x),K-tronik GmbH,Ottobrunn,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/senior-projektleiter-flottenmanagement-rollout-ottobrunn-71105,Arbeitnow
arbeitnow_embedded-firmware-developer-fpga-soc-fur-high-power-produkte-berlin-304512,Embedded Firmware Developer (FPGA/SoC) für High Power Produkte (m/w/x),K-tronik GmbH,Berlin,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/embedded-firmware-developer-fpga-soc-fur-high-power-produkte-berlin-304512,Arbeitnow
arbeitnow_software-test-engineer-stuttgart-231423,Software Test Engineer (m/w/x),K-tronik GmbH,Stuttgart,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/software-test-engineer-stuttgart-231423,Arbeitnow
arbeitnow_legal-data-engineering-praktikum-6-monate-munich-261225,Legal Data Engineering (m/w/d) - Praktikum (6 Monate),Silvernova GmbH,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/silvernova-gmbh/legal-data-engineering-praktikum-6-monate-munich-261225,Arbeitnow
arbeitnow_leiter-fpa-finance-performance-i-raum-frankfurt-am-main-210879,Leiter FP&A / Finance Performance (m/w/d) I Raum Frankfurt am Main,Hoffmann.Recruiting & More,Frankfurt am Main,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/hoffmannrecruiting-more/leiter-fpa-finance-performance-i-raum-frankfurt-am-main-210879,Arbeitnow
arbeitnow_atlassian-consultant-in-vollzeit-braunschweig-265319,Atlassian Consultant (m/w/d) in Vollzeit,Norentec GmbH,Braunschweig,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/norentec-gmbh/atlassian-consultant-in-vollzeit-braunschweig-265319,Arbeitnow
